-8,2.4,7.3,-0.2,0.3,-0.2,
-8.05131,2.51974,7.18192,-0.10276,0.239259,-0.23616,
-8.09008,2.67177,6.92052,-0.0364073,0.151861,-0.257216,
-8.04071,2.64633,6.90651,0.0622147,0.100759,-0.285244,
-7.98681,2.69022,6.77024,0.107774,0.0876575,-0.27254,
-7.91669,2.72601,6.6271,0.140195,0.0715091,-0.28628,
-7.79953,2.75577,6.44857,0.234293,0.0593071,-0.357054,
-7.6836,2.76804,6.27181,0.231793,0.0245458,-0.35352,
-7.55371,2.74618,6.13086,0.25961,-0.0437849,-0.281901,
-7.40127,2.73692,6.00623,0.304942,-0.01862,-0.24924,
-7.205,2.73096,5.86827,0.392574,-0.012125,-0.275922,
-7.00217,2.71875,5.73581,0.405632,-0.0244459,-0.26492,
-6.80066,2.7132,5.597,0.403058,-0.0110947,-0.277629,
-6.58914,2.70828,5.44102,0.423039,-0.0098887,-0.311946,
-6.37934,2.70037,5.27856,0.419605,-0.0158106,-0.324925,
-6.16837,2.6866,5.11465,0.421911,-0.0275436,-0.327826,
-5.94932,2.6791,4.91699,0.438137,-0.0150232,-0.395309,
-5.73252,2.67053,4.72036,0.433604,-0.0171379,-0.39326,
-5.73076,2.66559,4.7212,0.437088,-0.0270204,-0.391575,
-5.4723,2.65984,4.52633,0.516961,-0.0116896,-0.389745,
-5.21822,2.64755,4.33407,0.508141,-0.0245472,-0.384511,
-4.96889,2.62928,4.14472,0.498635,-0.0365087,-0.378714,
-4.72463,2.60547,3.95851,0.488515,-0.0476009,-0.372405,
-4.48569,2.57653,3.77569,0.477852,-0.0578515,-0.365636,
-4.25671,2.53194,3.59039,0.457892,-0.0891268,-0.370606,
-4.01276,2.45087,3.42411,0.487738,-0.162206,-0.33256,
-3.7763,2.36882,3.26112,0.472922,-0.164059,-0.32598,
-3.54732,2.2861,3.10158,0.457961,-0.1654,-0.319071,
-3.32587,2.20295,2.94565,0.442905,-0.166256,-0.311872,
-3.11198,2.11961,2.79344,0.427799,-0.166655,-0.30442,
-2.90564,2.03627,2.64506,0.412685,-0.166623,-0.296751,
-2.70684,1.95316,2.50061,0.397602,-0.166188,-0.2889,
-2.52514,1.87939,2.3501,0.36345,-0.147464,-0.301015,
-2.18114,1.73432,2.06263,0.337971,-0.142605,-0.283486,
-1.86308,1.59241,1.79375,0.311475,-0.141527,-0.26402,
-1.43464,1.38366,1.42665,0.272901,-0.137664,-0.235158,
-0.949978,1.11835,1.003,0.22449,-0.129191,-0.198076,
-0.556908,0.873544,0.650613,0.180353,-0.118016,-0.16341,
-0.118575,0.55323,0.243099,0.123231,-0.098381,-0.117173,
0.22776,0.154986,-0.16155,0.0418481,-0.0819147,-0.0716431,
0.140453,-0.159977,-0.156368,-0.0211984,0.0164428,0.0241028,
0,0,0,0,0,0,
